,yawRate,drivingMode,topic,msgsize,time,gearLocation,metadataID,throttlePercentage,steeringPercentage,brakePercentage,groupMetadataID,errorCode,steeringRate,speedMps,engineStarted,_id,fuelRangeM,msg_type,engageAdvice.advice,signal.turnSignal,header.moduleName,header.sequenceNum,header.timestampSec,wheelSpeed.isWheelSpdRrValid,wheelSpeed.wheelSpdRr,wheelSpeed.isWheelSpdRlValid,wheelSpeed.wheelSpdFr,wheelSpeed.isWheelSpdFrValid,wheelSpeed.wheelSpdRl,wheelSpeed.wheelSpdFl,wheelSpeed.isWheelSpdFlValid
2,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166914665152141,GEAR_DRIVE,e9c16a27-c840-11ee-a7fc-dd032dba19e8,12.8,0.44466987,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.531263,True,f49f7b8e-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75794,1686166914.6650102,True,67.9107894897461,True,67.96315002441406,True,67.80606842041016,67.9107894897461,True
3,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686167023285163493,GEAR_PARKING,43773e83-c842-11ee-a7fc-dd032dba19e8,0,2.5197961,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,5c129f1c-c842-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,81225,1686167023.2850325,True,0,True,0,True,0,0,True
4,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166917407005133,GEAR_DRIVE,e9c16a27-c840-11ee-a7fc-dd032dba19e8,0,0.40761408,2.4,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,25.030396,True,fe6e98d7-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75931,1686166917.4046664,True,69.4815902709961,True,69.32450866699219,True,69.37686920166016,69.32450866699219,True
5,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166949065719844,GEAR_DRIVE,491ecfe5-c841-11ee-a7fc-dd032dba19e8,0,-0.51878154,14.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,21.171886,True,6358a83a-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,77514,1686166949.0656216,True,58.8525276184082,True,58.538368225097656,True,58.90488815307617,58.590728759765625,True
6,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166915549482731,GEAR_DRIVE,e9c16a27-c840-11ee-a7fc-dd032dba19e8,9.6,0.03705582,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.79602,True,f83f2eb2-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75838,1686166915.5456226,True,68.6961898803711,True,68.6961898803711,True,68.53910827636719,68.6961898803711,True
7,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166960535159788,GEAR_DRIVE,87d6fd40-c841-11ee-a7fc-dd032dba19e8,0,0.09263956,13.2,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,17.530392,True,8983c46a-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,78085,1686166960.4855332,True,48.694705963134766,True,48.537628173828125,True,48.747066497802734,48.537628173828125,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166950505683135,GEAR_DRIVE,491ecfe5-c841-11ee-a7fc-dd032dba19e8,0,-0.5002536,15.2,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,19.733084,True,66542d43-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,77586,1686166950.5055962,True,54.87317657470703,True,54.716094970703125,True,54.9778938293457,54.61137390136719,True
1,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166905825583835,GEAR_DRIVE,ca303b6c-c840-11ee-a7fc-dd032dba19e8,0,0.1667512,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,22.515202,True,d6142c06-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75352,1686166905.8255005,True,62.465362548828125,True,62.36064147949219,True,62.465362548828125,62.413002014160156,True
2,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166900845220766,GEAR_DRIVE,aa92c82f-c840-11ee-a7fc-dd032dba19e8,9.2,0.27791867,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,22.248276,True,c5fa5d6a-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75103,1686166900.8451576,True,61.679962158203125,True,61.679962158203125,True,61.57524108886719,61.627601623535156,True
3,0,COMPLETE_AUTO_DRIVE,/apollo/canbus/chassis,134,1686166918404140159,GEAR_DRIVE,e9c16a27-c840-11ee-a7fc-dd032dba19e8,0,0.1667512,2.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,24.95227,True,01b95804-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,75981,1686166918.404021,True,69.21978759765625,True,69.11506652832031,True,69.21978759765625,69.16742706298828,True
4,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166993484966600,GEAR_DRIVE,e5497316-c841-11ee-a7fc-dd032dba19e8,0,5.669541,0.8,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,0,True,f727d725-c841-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_RIGHT,canbus,79735,1686166993.4848607,True,0,True,0,True,0,0,True
0,0,EMERGENCY_MODE,/apollo/canbus/chassis,134,1686166880285197689,GEAR_DRIVE,6a6c153e-c840-11ee-a7fc-dd032dba19e8,29.2,0.11116747,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,20.342892,True,846e48b4-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,74075,1686166880.2842686,True,56.12981414794922,True,56.33925247192383,True,56.18217086791992,56.33925247192383,True
1,0,COMPLETE_MANUAL,/apollo/canbus/chassis,134,1686166875445653821,GEAR_DRIVE,6a6c153e-c840-11ee-a7fc-dd032dba19e8,19.2,-0.5002536,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,NO_ERROR,0,16.90539,True,73bb3898-c840-11ee-a7fc-dd032dba19e8,0,,READY_TO_ENGAGE,TURN_NONE,canbus,73833,1686166875.445585,True,46.652671813964844,True,46.86211013793945,True,46.70503234863281,46.86211013793945,True
